,uuid,timestamp_prod_start,prod_plt_temp,timestamp_prod_end
102,25a6766f-c6e2-4b4d-a08c-126ba6737d09,2022-01-31 11:03:19.194413,80.85,2022-01-31 11:03:29.244120
103,fa83e068-9ece-45a5-ae5f-796bb7dc7fed,2022-01-31 11:05:01.278059,69.63,2022-01-31 11:05:11.327766
104,ad2e0464-2f29-4839-b135-f4d69444929c,2022-02-02 08:08:06.890310,18.15,2022-02-02 08:08:16.940017
105,1869b4eb-eaca-4e1b-87b5-620f5e7c65ad,2022-02-02 08:09:48.115984,18.15,2022-02-02 08:09:58.165691
106,3a232702-c678-47d8-ade7-88fbe993f1c0,2022-02-02 08:11:51.571089,18.15,2022-02-02 08:12:01.620796
107,69409260-ce10-4289-b447-9a52fe4ba0ad,2022-02-02 08:13:33.192646,18.15,2022-02-02 08:13:43.242353
108,b6775e64-f422-42fa-887d-814cf3d66275,2022-02-02 08:15:15.202293,18.15,2022-02-02 08:15:25.252000
109,d69d65b5-5f8c-45ed-b5d2-459018aede5e,2022-02-02 08:16:56.557887,18.15,2022-02-02 08:17:06.607594
110,716197de-7de1-48ea-92d8-b6ff9ec0e2cd,2022-02-02 08:18:39.423465,18.15,2022-02-02 08:18:49.473172
111,3369e1f4-5665-463f-ab53-5d997c438de2,2022-02-02 08:20:32.564758,18.15,2022-02-02 08:20:42.614465
112,9564cdfb-7793-4f96-9ea8-a7bcddc8e649,2022-02-02 08:22:14.956260,18.15,2022-02-02 08:22:25.005967
113,88999dce-15bb-4a59-a661-32f21a4a2ceb,2022-02-02 08:23:57.011839,18.15,2022-02-02 08:24:07.061546
114,09c4f064-71db-4ec9-b298-00a98cb40de0,2022-02-02 08:25:38.947359,18.15,2022-02-02 08:25:48.997066
115,66e77793-baca-4010-9926-371cbf47cc7b,2022-02-02 08:45:29.670275,0.0,2022-02-02 08:45:39.719982
116,a47ad5ec-e2ee-4124-9bfd-7f49cb895d55,2022-02-02 09:01:07.787324,31.42,2022-02-02 09:01:17.837031
117,1df60463-0345-467e-b941-bffb646bda96,2022-02-02 09:05:39.090550,25.06,2022-02-02 09:05:49.140257
118,6b148b3f-707b-49bd-bda4-006812d6857e,2022-02-02 09:13:31.483129,24.96,2022-02-02 09:13:41.532836
119,c4a6455c-2f93-4a09-b77d-564813052a34,2022-02-07 10:55:59.776446,0.0,2022-02-07 10:56:09.826153
120,f85df2e2-b12d-49c4-9ff5-ea67cb04c87b,2022-02-07 11:28:10.504406,20.44,2022-02-07 11:28:20.554113
121,c8cce0c9-e01e-4962-b30c-90b0a4e3683d,2022-02-07 11:30:57.886530,0.0,2022-02-07 11:31:07.936237
122,6761ad52-d426-4f65-b3bd-b71106aca9ea,2022-02-07 11:33:22.203154,0.0,2022-02-07 11:33:32.252861
123,34530a9f-28f7-4997-bf06-178996a8cbd8,2022-02-07 11:35:28.970157,0.0,2022-02-07 11:35:39.019864
124,c304de50-4cce-44d2-b168-03d779fd22c0,2022-02-07 11:36:26.732833,0.0,2022-02-07 11:36:36.782540
125,9f83920b-9538-47e9-90ec-9203ac7f516b,2022-02-07 11:43:25.652755,0.0,2022-02-07 11:43:35.702462
126,c9c28717-bff0-4b60-8420-418f7dbf68eb,2022-02-07 11:47:01.621353,20.07,2022-02-07 11:47:11.671060
127,4243ea90-5969-4dad-a45a-4fc9c981a544,2022-02-07 11:49:45.343603,20.14,2022-02-07 11:49:55.393310
128,26b642c1-ea67-45c5-b153-28d814ba123c,2022-02-14 09:53:30.032379,73.9,2022-02-14 09:53:40.082086
129,40464519-c9f0-4047-8ba6-1b8f6b016a72,2022-02-14 09:55:28.813911,73.81,2022-02-14 09:55:38.863618
130,6cbc85a4-6b7e-464d-b336-d11fada43763,2022-02-14 10:01:18.842658,75.23,2022-02-14 10:01:28.892365
